id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20947,Sui,SUI,sui,624,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio']",10000000000.0,3249982900.458888,10000000000.0,False,,11,3249982900.458888,11430117436.664171,,2025-04-26T08:55:00.000Z,3.5169777154982182,2642004181.660786,-20.9932,-1.26026769,-3.45443629,63.65543274,26.27578622,25.98239838,-15.29517145,11430117436.664171,0.3856,35169777154.98,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
1975,Chainlink,LINK,chainlink,1998,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-04-26T08:55:00.000Z,15.022928116274658,404366200.30856526,1.7214,-0.79608955,-0.66257985,16.6969802,-3.86644511,1.7333677,-41.26987062,9871565621.318417,0.333,15022928116.27,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-04-26 11:56:12.336167
5805,Avalanche,AVAX,avalanche,907,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416120606.6076006,452790106.6076006,False,,13,,,,2025-04-26T08:55:00.000Z,22.484711800917168,366822508.3534252,11.8896,-0.23732924,0.31970462,15.15026887,2.49186425,6.09892241,-40.14412905,9356351913.994728,0.3156,16093403668.59,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
512,Stellar,XLM,stellar,703,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30860955753.281357,50001786892.81785,False,,14,,,,2025-04-26T08:55:00.000Z,0.2920673245722481,238837794.2358316,-12.7259,-1.03596418,2.76094618,18.16078475,-0.16153283,1.69120724,-31.24341807,9013476780.603416,0.3041,14603893939.36,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:12.336167
5994,Shiba Inu,SHIB,shiba-inu,959,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem', 'animal-memes']",589552695333683.0,589250330929905.8,589504437922989.0,False,,15,589552695333683.0,8557877119.541356,,2025-04-26T08:55:00.000Z,1.4515881595109412e-05,326918488.9094164,43.2162,-1.56158837,2.69959041,18.90280231,0.63243843,6.25987273,-27.43055339,8553488033.65755,0.2886,8557877119.54,,2025-04-26T08:55:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-04-26 11:56:12.336167
1,Bitcoin,BTC,bitcoin,12051,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19856365.0,19856365.0,False,,1,,,,2025-04-26T08:55:00.000Z,94339.41615737106,35234378981.00147,9.8893,-0.38287456,0.66275253,10.56510766,7.9244532,5.39355155,-10.15820475,1873237881107.6572,63.1951,1981127739304.79,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
1027,Ethereum,ETH,ethereum,10150,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120720245.63563792,120720245.63563792,True,,2,,,,2025-04-26T08:55:00.000Z,1807.6028469255095,15544880883.344158,8.6941,0.15510655,1.77329476,12.81265116,-10.72592203,-24.71692894,-45.72717345,218214259692.52594,7.3616,218214259692.53,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
825,Tether USDt,USDT,tether,125562,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,146014119939.26932,148529368954.33054,True,,3,,,,2025-04-26T08:54:00.000Z,1.0004451072919407,76893132270.83704,8.5178,0.00134256,0.01908579,0.06236885,0.02683327,0.06311745,0.05674211,146079111888.78058,4.9281,148595480459.52,,2025-04-26T08:54:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-26 11:56:55.870301
52,XRP,XRP,xrp,1594,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58394167593.0,99986232255.0,False,,4,,,,2025-04-26T08:55:00.000Z,2.209871108220407,3315521859.2754006,-15.0704,-0.98865814,0.65444322,5.93776507,-6.8422623,0.575407,-29.51312398,129043583852.35109,4.3534,220987110822.04,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
1839,BNB,BNB,bnb,2495,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890426.51,140890426.51,False,,5,,,,2025-04-26T08:55:00.000Z,601.9680650716019,1657598262.9895337,2.3786,-0.22963021,-1.34132757,1.46897393,-5.96257376,-0.8485329,-12.55978345,84811537433.33742,2.8612,84811537433.34,,2025-04-26T08:55:00.000Z,,,,,,2025-04-26 11:56:55.870301
